Name,Score,Episodes,Air Date,Source,Studio,id,Genre
Youjo Senki Movie,8.32,1,"Feb 8, 2019",Light novel,Nut,37055,"['Action', 'Military', 'Magic']"
Natsume's Book of Friends Season 3,8.61,13,"Jul 5, 2011 to Sep 27, 2011","NIS America, Inc.",Brain's Base,10379,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']"
Ranma ½,7.77,161,"Apr 15, 1989 to Sep 25, 1992",Viz Media,Studio Deen,210,"['Slice of Life', 'Comedy', 'Martial Arts', 'Fantasy', 'Shounen']"
Violet Evergarden,8.62,13,"Jan 11, 2018 to Apr 5, 2018","None found, add some",Kyoto Animation,33352,"['Slice of Life', 'Drama', 'Fantasy']"
Berserk: The Golden Age Arc II - The Battle for Doldrey,7.95,1,"Jun 23, 2012",Manga,Studio 4°C,12113,"['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Military', 'Seinen', 'Supernatural']"
Seitokai Yakuindomo* OVA,7.93,10,"May 16, 2014 to Sep 17, 2020",4-koma manga,GoHands,26123,"['Slice of Life', 'Comedy', 'School', 'Shounen']"
5 Centimeters Per Second,7.79,3,"Mar 3, 2007",Original,CoMix Wave Films,1689,"['Drama', 'Romance', 'Slice of Life']"
Castle in the Sky,8.33,1,"Aug 2, 1986",Original,Studio Ghibli,513,"['Adventure', 'Fantasy', 'Romance', 'Sci-Fi']"
Hidamari Sketch x 365,7.84,13,"Jul 4, 2008 to Sep 26, 2008",Sentai Filmworks,Shaft,3604,"['Slice of Life', 'Comedy', 'School', 'Seinen']"
Ie Naki Ko,7.80,51,"Oct 2, 1977 to Oct 1, 1978","None found, add some",TMS Entertainment,2828,"['Adventure', 'Drama', 'Historical', 'Kids', 'Slice of Life']"
Girls' Last Tour,8.19,12,"Oct 6, 2017 to Dec 22, 2017",Sentai Filmworks,White Fox,35838,"['Adventure', 'Mystery', 'Sci-Fi', 'Slice of Life']"
